exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
AMEX,HWG,2010-02-08,44.00,44.00,43.50,43.50,1100,43.50
AMEX,HWG,2010-02-05,44.60,44.60,44.10,44.12,1100,44.12
AMEX,HWG,2010-02-04,45.41,45.75,44.75,44.83,3300,44.83
AMEX,HWG,2010-02-03,45.14,46.00,45.14,46.00,6800,46.00
AMEX,HWG,2010-02-02,45.00,45.50,45.00,45.25,1400,45.25
AMEX,HWG,2010-02-01,44.75,46.00,44.45,45.04,13600,45.04
AMEX,HWG,2010-01-29,43.56,45.00,43.56,44.23,5400,44.23
AMEX,HWG,2010-01-28,45.00,46.44,42.00,43.25,13600,43.25
AMEX,HWG,2010-01-27,40.71,45.00,40.71,45.00,19300,45.00
AMEX,HWG,2010-01-26,37.51,41.75,37.51,41.00,12300,41.00
AMEX,HWG,2010-01-25,36.61,38.49,36.04,38.49,10700,38.49
AMEX,HWG,2010-01-22,36.66,36.66,34.50,36.01,15100,36.01
AMEX,HWG,2010-01-21,38.00,38.08,34.93,36.50,9600,36.50
AMEX,HWG,2010-01-20,39.00,39.00,38.00,38.00,900,38.00
AMEX,HWG,2010-01-19,39.40,39.40,38.50,38.50,4900,38.50
AMEX,HWG,2010-01-15,39.50,39.50,38.66,39.38,2500,39.38
AMEX,HWG,2010-01-14,38.37,39.73,38.37,39.50,1300,39.50
AMEX,HWG,2010-01-13,41.48,41.48,38.66,39.00,7500,39.00
AMEX,HWG,2010-01-12,42.52,43.10,41.15,41.15,8800,41.15
AMEX,HWG,2010-01-11,43.26,43.26,41.70,43.00,13800,43.00
AMEX,HWG,2010-01-08,40.21,41.95,40.21,41.70,8200,41.70
AMEX,HWG,2010-01-07,39.23,40.50,39.23,40.49,8300,40.49
AMEX,HWG,2010-01-06,39.00,39.70,38.50,39.70,6100,39.70
AMEX,HWG,2010-01-05,38.49,38.67,37.50,38.64,15900,38.64
AMEX,HWG,2010-01-04,39.00,39.25,38.00,38.47,8800,38.47
AMEX,HWG,2009-12-31,37.89,38.85,37.89,38.80,5300,38.80
AMEX,HWG,2009-12-30,37.03,37.85,36.93,37.60,8200,37.60
AMEX,HWG,2009-12-29,35.29,37.25,35.29,36.99,9000,36.99
